name,prompt,negative_prompt,remark
小马 Pony,"score_9, score_8_up, score_7_up, (SUBJECT), depth of field, highly detailed, high contrast, film grain, Rim Lighting","score_6, score_5, score_4, text, censored, deformed, bad hand,deformed, deformed face, low quality, bad quality, worst quality, (drawn, furry, illustration, cartoon, anime, comic:1.5), 3d, cgi, extra fingers, (source_anime, source_cartoon, source_furry, source_western, source_comic, source_pony), deformed teeth,(worst quality:2),(low quality:2),(normal quality:2),lowres,normal quality,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,(ugly:1.33),(duplicate:1.33),(morbid:1.21),(mutilated:1.21),(tranny:1.33),mutated hands,(poorly drawn hands:1.5),blurry,(bad anatomy:1.21),(bad proportions:1.33),extra limbs,(disfigured:1.33),(missing arms:1.33),(extra legs:1.33),(fused fingers:1.61),(too many fingers:1.61),(unclear eyes:1.33),lowers,bad hands,missing fingers,extra digit,bad hands,missing fingers,(((extra arms and legs))),DeepNegativeV1.x_V175T,EasyNegative,EasyNegativeV2,",
诱惑半身,"Photograph of a young Asian woman with fair skin and straight brown hair,wearing a sheer,brown lace dress with a plunging neckline,revealing ample cleavage. She has a neutral expression,wearing gold earrings. Background shows greenery and a stone balustrade.,full body,","ng_deepnegative_v1_75t,(badhandv4:1.2),EasyNegative,(worst quality:2),",
模特,"This is a high-resolution photograph of a young East Asian woman with fair skin,She wears an elegant,off-the-shoulder,brown and silver lace dress with intricate floral embroidery,Her hair is dark brown,styled in a neat,low bun with a few loose strands framing her face,She has a subtle,natural makeup look with a soft pink blush,defined eyebrows,and a muted,natural lip color. Her eyes are accentuated with a light touch of eyeliner and mascara,and she is wearing a small pair of pearl earrings. She is positioned against a plain,light beige background,which helps to focus attention on her. The overall style of the photograph is clean and minimalist,emphasizing the subject's poise and sophistication,The background is a soft,blurred gradient of light gray and white,giving a dreamy,ethereal feel,","ng_deepnegative_v1_75t,(badhandv4:1.2),EasyNegative,(worst quality:2),",
F2025,"feifei,busty breasts,This is a high-resolution photograph of a young Asian woman with fair skin and a delicate,elegant appearance. She has a slender build and is wearing a pristine,white,V-neck blouse made of a smooth,silky fabric that drapes softly over her shoulders. The blouse has long sleeves with button cuffs,and she is wearing a black skirt that is partially visible at the bottom of the frame. Her hair is dark brown,styled in a neat,low bun with a few loose strands framing her face. She has a subtle,natural makeup look with a soft pink blush,defined eyebrows,and a muted,natural lip color. Her eyes are accentuated with a light touch of eyeliner and mascara,and she is wearing a small pair of pearl earrings. She is positioned against a plain,light beige background,which helps to focus attention on her. Her right hand is placed gently on her chin,with her fingers lightly touching her lips,while her left arm is bent and rests on her hip. The overall style of the photograph is clean and minimalist,emphasizing the subject's poise and sophistication.,","(worst quality:2),(low quality:2),(normal quality:2),lowres,watermark,ng_deepnegative_v1_75t,(badhandv4:1.2),EasyNegative,(worst quality:2),",
白色半透明衬衫,"photo (medium), 1girl, standing, outdoors, sidewalk, trees in the background, daytime, bright, smiling, long straight black hair,up shirt with rolled-up sleeves, black pantyhose, black heels, fair skin, slender physique, bright and vibrant colors, natural lighting,shirt","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry",
晚霞美女,"NSFW,Frontal photography,Look front,evening,dark clouds,the setting sun,On the city rooftop,A 20 year old female,Black top,Black Leggings,black hair,long hair, dark theme, muted tones, pastel colors, high contrast, (natural skin texture, A dim light, high clarity) ((sky background))((Facial highlights)),","easynegative,(worst quality:2),(low quality:2),(normal quality:2),lowres,bad anatomy,bad hands,normal quality,((monochrome)),((grayscale)),((watermark)),",
2.5D人物模板,"(best quality), ((masterpiece)), (highres), (an extremely delicate and beautiful), original, extremely detailed wallpaper,","worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,bad_anatomy,bad_feet,bad_hands,bad_perspective,bad_proportions,error,extra_arms,extra_ears,extra_eyes,extra_mouth,feet_out_of_frame,foot_out_of_frame,greyscale,head_out_of_frame,out-of-frame_censoring,out_of_frame,wrong_feet,",
万能式线稿角色细化,"(best quality),((masterpiece)),(highres),original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,intricate detail,artbook,","(bad-artist:1.0), (loli:1.2), (worst quality, low quality:1.4), (bad_prompt_version2:0.8), bad-hands-5,lowres, bad anatomy, bad hands, ((text)), (watermark), error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, ((username)), blurry, (extra limbs),",
正向-高质量,"(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),",,
正向-画质改善,"ray tracing,(best quality),((masterpiece)),(highres), original, extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres,colorful,intricate detail,artbook,",,
反向-人物万能,,"multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand,",
反向-单人专用,,"(Multiple people),lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,",
反向-超长超全,,"multiple breasts, (mutated hands and fingers: 1.5), (long body 1.3), (mutation, poorly drawn 1.2), black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, fused ears, bad ears, poorly drawn ears, extra ears, liquid ears, heavy ears, missing ears, fused animal ears, bad animal ears, poorly drawn animal ears, extra animal ears, liquid animal ears, heavy animal ears, missing animal ears, text, ui, error, missing fingers, missing limb, fused fingers, one hand with more than 5 fingers, one hand with less than 5 fingers,one hand with more than 5 digit, one hand with less than 5 digit, extra digit, fewer digits, fused digit, missing digit, bad digit, liquid digit, colorful tongue, black tongue, cropped, watermark, username, blurry, JPEG artifacts, signature, 3D, 3D game, 3D game scene, 3D character, malformed feet, extra feet, bad feet, poorly drawn feet, fused feet, missing feet, extra shoes, bad shoes, fused shoes, more than two shoes, poorly drawn shoes, bad gloves, poorly drawn gloves, fused gloves, bad cum, poorly drawn cum, fused cum, bad hairs, poorly drawn hairs, fused hairs, big muscles, ugly, bad face, fused face, poorly drawn face, cloned face, big face, long face, bad eyes, fused eyes poorly drawn eyes, extra eyes, malformed limbs, more than 2 nipples, missing nipples, different nipples, fused nipples, bad nipples, poorly drawn nipples, black nipples, colorful nipples, gross proportions. short arm, (((missing arms))), missing thighs, missing calf, missing legs, mutation, duplicate, morbid, mutilated,poorly drawn cloth, bad pantie, yellow teeth, thick lips, bad cameltoe, colorful cameltoe, bad asshole, poorly drawn asshole, fused asshole, missing asshole, bad anus, bad pussy, bad crotch, bad crotch seam, fused anus, fused pussy, fused anus, fused crotch, poorly drawn crotch, fused seam, poorly drawn anus, poorly drawn pussy, poorly drawn crotch, poorly drawn crotch seam, bad thigh gap, missing thigh gap, fused thigh gap, liquid thigh gap, poorly drawn thigh gap, poorly drawn anus, bad collarbone, fused collarbone, missing collarbone, liquid collarbone, strong girl, obesity, worst quality, low quality, normal quality, liquid tentacles, bad tentacles, poorly drawn tentacles, split tentacles, fused tentacles, missing clit, bad clit, fused clit, colorful clit, black clit, liquid clit, QR code, bar code, censored, safety panties, safety knickers, beard, furry pony, pubic hair, mosaic, excrement, faeces, shit, futa, testis,",
反向-通用人物负面词咒语,,"sketches, (worst quality:2), (low quality:2), (normal quality:2), lowers, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head, bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worst quality, low quality, normal quality,jpeg artifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot",


